0.514313,0.557542,0.457878,0.445546,0.535499,0.577817,0.458494,0.52996,0.548579,0.497407,0.512105,0.51813,0.485362,0.500812,0.584832,0.389858,0.27146,0.308382,0.456106,0.411691	0.195491,0.187621,0.0602513,0.0814705,0.0595665,0.0614928,0.102009,0.181671,0.146686,0.0558783,0.113064,-0.0386209,0.140773,0.059393,0.207931,-0.0173605,-0.058841,0.0440251,0.0398447,0.10048	0.354461,0.413138,0.408907,0.377788,0.491614,0.535346,0.373976,0.385393,0.437063,0.454151,0.423565,0.545829,0.369861,0.454951,0.429079,0.404481,0.325108,0.267995,0.423966,0.324641
-0.34148,-0.336604,-0.32642,-0.368233,-0.318826,-0.348861,-0.385,-0.345698,-0.321559,-0.376329,-0.36753,-0.344739,-0.289182,-0.301927,-0.334742,-0.257324,-0.182794,-0.257009,-0.289183,-0.357184	0.113042,0.102573,0.0747049,0.0798951,0.134162,0.0936957,0.0723018,0.157455,0.172968,0.0741867,0.0741616,0.0981625,0.106436,0.0683418,0.188128,0.0649812,0.030449,0.0870285,0.0766641,0.0462846	-0.437629,-0.42452,-0.391576,-0.435321,-0.434407,-0.428549,-0.444917,-0.477179,-0.468471,-0.438279,-0.429972,-0.428404,-0.383805,-0.362783,-0.491894,-0.317005,-0.212063,-0.33651,-0.357912,-0.396906
0.722977,0.760466,0.729939,0.664808,0.714804,0.751057,0.689855,0.785735,0.747768,0.744755,0.71618,0.746587,0.720668,0.656245,0.781177,0.56086,0.42876,0.497905,0.682291,0.647198	0.597816,0.622211,0.498071,0.478186,0.488366,0.498381,0.519951,0.613089,0.58395,0.492988,0.542974,0.410156,0.558472,0.407444,0.616818,0.329617,0.229075,0.335166,0.44623,0.478444	0.220433,0.262428,0.364322,0.273601,0.347877,0.403838,0.264933,0.333116,0.290797,0.397833,0.283417,0.484922,0.271444,0.339606,0.3172,0.283688,0.221434,0.195337,0.339392,0.244446
-0.486967,-0.489329,-0.499782,-0.527302,-0.515267,-0.509875,-0.541129,-0.484551,-0.483244,-0.554808,-0.515601,-0.580848,-0.449813,-0.451586,-0.504677,-0.457097,-0.367744,-0.38173,-0.476088,-0.497101	0.162729,0.171854,0.159459,0.110687,0.246274,0.260983,0.129128,0.224497,0.258807,0.145188,0.181794,0.182699,0.184884,0.257168,0.231973,0.145178,0.079283,0.129601,0.175394,0.109242	-0.601992,-0.609895,-0.610581,-0.602806,-0.675786,-0.680328,-0.626482,-0.639485,-0.659561,-0.647814,-0.637628,-0.690292,-0.585966,-0.635009,-0.659447,-0.564795,-0.434362,-0.487227,-0.601274,-0.575112
0.387701,0.361431,0.379683,0.293813,0.367456,0.394524,0.355228,0.427607,0.400402,0.367108,0.35914,0.418104,0.380183,0.345955,0.424504,0.309105,0.14386,0.242534,0.322803,0.346505	0.546841,0.554536,0.522754,0.438386,0.593373,0.614436,0.517619,0.551879,0.605064,0.507193,0.574981,0.585594,0.525573,0.515978,0.593636,0.498139,0.294667,0.339539,0.48384,0.462146	-0.201957,-0.24151,-0.1785,-0.165948,-0.28891,-0.290277,-0.198978,-0.162657,-0.270098,-0.172136,-0.272012,-0.221794,-0.181695,-0.206968,-0.226112,-0.223438,-0.157482,-0.105711,-0.190844,-0.13769
0.13679,0.121213,0.146156,0.0932346,0.207641,0.195736,0.117051,0.20035,0.209109,0.111281,0.121659,0.209104,0.138017,0.175102,0.210253,0.117177,0.0628895,0.129635,0.172594,0.0956727	-0.420222,-0.430402,-0.431678,-0.481026,-0.427379,-0.453407,-0.470896,-0.447268,-0.425022,-0.51058,-0.453719,-0.496532,-0.402142,-0.411822,-0.449215,-0.38425,-0.29821,-0.325397,-0.392018,-0.442492	0.526734,0.524264,0.543541,0.549611,0.58326,0.596229,0.557233,0.594358,0.582372,0.588428,0.545279,0.639263,0.511756,0.547447,0.602558,0.479822,0.354452,0.436614,0.528831,0.516307
-0.299181,-0.361085,-0.351758,-0.352498,-0.420075,-0.402684,-0.335415,-0.331519,-0.382164,-0.408344,-0.341937,-0.509541,-0.305988,-0.323086,-0.407236,-0.34806,-0.286247,-0.229673,-0.357998,-0.279511	-0.390567,-0.466031,-0.358237,-0.373014,-0.379018,-0.400079,-0.385109,-0.38894,-0.401309,-0.405132,-0.396263,-0.419617,-0.357235,-0.335132,-0.462965,-0.285396,-0.202774,-0.205197,-0.344962,-0.342596	0.103476,0.12618,0.00741233,0.0236228,-0.0488318,-0.0031043,0.0570657,0.0659206,0.0226129,-0.00384793,0.0628404,-0.114379,0.0575367,0.0135083,0.0686777,-0.0695759,-0.0886165,-0.0256875,-0.0148723,0.0697647
-0.61241,-0.664102,-0.552531,-0.551566,-0.541581,-0.572533,-0.507323,-0.659138,-0.596056,-0.623411,-0.583929,-0.532869,-0.569992,-0.512339,-0.668356,-0.324332,-0.310108,-0.31634,-0.569516,-0.496786	0.0971555,0.0534118,0.214406,0.0530736,0.193226,0.181803,0.198752,0.130646,0.208771,0.0856394,0.17451,0.253949,0.125607,0.081004,0.0824586,0.214624,0.0564769,0.0823934,0.0933686,0.146693	-0.669718,-0.692935,-0.685704,-0.587443,-0.665196,-0.683221,-0.641401,-0.727165,-0.715759,-0.673114,-0.6883,-0.693035,-0.649125,-0.5697,-0.711597,-0.503881,-0.360276,-0.388605,-0.629415,-0.599771
-0.690416,-0.738935,-0.677734,-0.648687,-0.659874,-0.678953,-0.654373,-0.739953,-0.701108,-0.711876,-0.680186,-0.684973,-0.676566,-0.603018,-0.751203,-0.503064,-0.390006,-0.430679,-0.618738,-0.622031	-0.203556,-0.251544,-0.28601,-0.275778,-0.290423,-0.295737,-0.22227,-0.290276,-0.269282,-0.36302,-0.237897,-0.403741,-0.24722,-0.26167,-0.327495,-0.237689,-0.193844,-0.14771,-0.246399,-0.207232	-0.56647,-0.598668,-0.485913,-0.454154,-0.457038,-0.479494,-0.505648,-0.572684,-0.532327,-0.470426,-0.527674,-0.388738,-0.515584,-0.405301,-0.561959,-0.301416,-0.212205,-0.302194,-0.439315,-0.476181
-0.285888,-0.307613,-0.290628,-0.238271,-0.230995,-0.296651,-0.29603,-0.315432,-0.301786,-0.300611,-0.291262,-0.290535,-0.296713,-0.257008,-0.308917,-0.238908,-0.100361,-0.151982,-0.207442,-0.294177	0.168842,0.188894,0.170641,0.148335,0.244127,0.210714,0.197266,0.137587,0.230923,0.139263,0.205037,0.25849,0.128112,0.119388,0.20456,0.190905,0.139723,0.10823,0.198491,0.128122	-0.433791,-0.469241,-0.439474,-0.373408,-0.449759,-0.477517,-0.466079,-0.434176,-0.498003,-0.422199,-0.46833,-0.510673,-0.409268,-0.365191,-0.482958,-0.411065,-0.236764,-0.256002,-0.38988,-0.40696
