0.431842,0.42398,0.336492,0.359157,0.468317,0.443032,0.329369,0.387823,0.451758,0.40554,0.495719,0.375308,0.396976,0.465148,0.367251,0.25358,0.19855,0.197354,0.355383,0.331868	0.0836612,0.14058,-0.0206614,-0.00783885,0.0370968,-0.034609,0.00280568,0.0730407,0.0389848,-0.0183213,0.0879253,-0.0982694,0.0946634,0.0701247,-0.0600032,-0.0514837,-0.0409707,-0.0648688,-0.0280658,0.00169791	0.361231,0.301362,0.354688,0.365965,0.438844,0.470428,0.326865,0.323959,0.420173,0.420735,0.426378,0.456733,0.314117,0.408343,0.418042,0.301133,0.237588,0.258908,0.379662,0.330356
-0.327685,-0.359828,-0.343751,-0.327899,-0.314943,-0.400142,-0.376602,-0.37379,-0.413955,-0.320211,-0.387617,-0.3056,-0.327656,-0.340186,-0.327191,-0.24307,-0.220194,-0.284239,-0.301898,-0.347764	0.116474,0.0881298,0.0764501,0.0883317,0.0688822,0.0735929,0.037338,0.102827,0.10934,0.0228771,0.127766,0.045023,0.0560093,0.0935703,0.0936036,0.0704765,0.0495908,0.0452199,0.0581184,0.0488206	-0.42783,-0.434189,-0.409441,-0.404515,-0.375676,-0.460184,-0.4082,-0.458976,-0.500635,-0.340593,-0.491063,-0.345865,-0.376751,-0.420375,-0.40829,-0.308266,-0.266871,-0.325278,-0.353808,-0.389964
0.690947,0.68597,0.67975,0.607567,0.685334,0.679772,0.63801,0.733657,0.724414,0.658352,0.718331,0.668354,0.679058,0.673224,0.633275,0.429025,0.396927,0.456697,0.599015,0.60404	0.539305,0.560047,0.444453,0.381344,0.455669,0.454647,0.467645,0.557297,0.533565,0.437548,0.521707,0.354808,0.522466,0.45272,0.384459,0.248547,0.248402,0.286705,0.385004,0.417372	0.241711,0.204478,0.337158,0.294444,0.333954,0.325822,0.24281,0.298343,0.311095,0.310144,0.314476,0.411013,0.242697,0.317172,0.32889,0.20202,0.164771,0.195603,0.278162,0.249593
-0.487597,-0.477905,-0.504615,-0.507696,-0.489472,-0.575781,-0.525969,-0.513884,-0.576779,-0.507711,-0.560246,-0.526095,-0.471279,-0.517224,-0.529996,-0.426683,-0.36196,-0.425616,-0.474639,-0.513838	0.169538,0.154826,0.137694,0.132172,0.186732,0.156501,0.089207,0.168731,0.155217,0.102043,0.18411,0.16375,0.117977,0.175155,0.142961,0.0937554,0.0715271,0.0694105,0.147571,0.0828239	-0.60696,-0.589139,-0.600579,-0.599631,-0.619574,-0.67175,-0.587606,-0.628149,-0.671848,-0.579719,-0.674757,-0.63513,-0.558219,-0.634864,-0.625559,-0.50042,-0.422548,-0.480822,-0.581481,-0.572305
0.289235,0.32176,0.276989,0.232053,0.327316,0.267088,0.228751,0.323054,0.301288,0.263321,0.364637,0.286345,0.310981,0.337218,0.217775,0.136274,0.103121,0.135086,0.213651,0.21642	0.454429,0.451063,0.380473,0.354161,0.510114,0.492751,0.366554,0.42478,0.484228,0.454297,0.54182,0.414502,0.433055,0.481959,0.376546,0.270441,0.217083,0.236052,0.381813,0.345279	-0.190192,-0.151255,-0.115674,-0.133042,-0.219437,-0.259863,-0.150415,-0.117905,-0.214188,-0.216926,-0.220808,-0.145417,-0.141072,-0.17283,-0.172954,-0.139301,-0.116572,-0.104291,-0.183098,-0.139266
0.141077,0.150804,0.107549,0.110728,0.145974,0.119393,0.0863057,0.127066,0.129499,0.076604,0.140727,0.125427,0.109072,0.165199,0.137756,0.0640998,0.0545901,0.083536,0.129281,0.0728568	-0.420058,-0.418252,-0.468023,-0.465446,-0.42104,-0.513753,-0.451775,-0.487723,-0.51928,-0.432715,-0.506326,-0.470721,-0.406875,-0.447355,-0.466581,-0.36082,-0.306638,-0.359397,-0.397479,-0.459918	0.529742,0.535293,0.547988,0.547935,0.534183,0.596554,0.517888,0.578912,0.607901,0.492978,0.604014,0.562913,0.494023,0.5704,0.56784,0.415314,0.355281,0.430023,0.501015,0.515501
-0.313887,-0.24187,-0.312438,-0.33707,-0.350908,-0.422794,-0.282805,-0.280326,-0.38891,-0.363808,-0.390319,-0.390617,-0.279374,-0.36304,-0.376169,-0.29203,-0.228532,-0.246805,-0.31052,-0.301903	-0.299609,-0.308277,-0.238258,-0.262076,-0.333617,-0.34449,-0.260749,-0.275455,-0.350947,-0.33081,-0.386162,-0.261359,-0.323526,-0.356258,-0.254555,-0.186277,-0.149065,-0.146576,-0.235387,-0.270998	-0.0157604,0.0717575,-0.0801459,-0.0822599,-0.0195834,-0.0916533,-0.0238111,-0.00527933,-0.0439633,-0.0375137,-0.00489523,-0.143954,0.0485394,-0.00778904,-0.134493,-0.111836,-0.0822697,-0.103991,-0.0810583,-0.0336589
-0.623628,-0.613527,-0.575385,-0.498276,-0.52765,-0.584173,-0.558506,-0.64852,-0.639483,-0.547183,-0.594516,-0.536301,-0.577406,-0.563905,-0.535119,-0.338994,-0.319972,-0.345658,-0.515938,-0.53333	0.0784949,0.0677511,0.112671,0.0339249,0.156926,0.14069,0.102737,0.109332,0.130117,0.123604,0.15738,0.129445,0.0813578,0.0558477,0.0659026,0.0518984,0.0315413,0.0960403,0.0756063,0.0457525	-0.669357,-0.65409,-0.646166,-0.523354,-0.632226,-0.669813,-0.625361,-0.707676,-0.710482,-0.628294,-0.687564,-0.622529,-0.629206,-0.600831,-0.580548,-0.384134,-0.348002,-0.427507,-0.569336,-0.565289
-0.652285,-0.628173,-0.642373,-0.564818,-0.632216,-0.646574,-0.597105,-0.710035,-0.685877,-0.625991,-0.692521,-0.630665,-0.633034,-0.625267,-0.583353,-0.403995,-0.361266,-0.409372,-0.5249,-0.580791	-0.229042,-0.138881,-0.308444,-0.27447,-0.259173,-0.298172,-0.188672,-0.287839,-0.293136,-0.253426,-0.31907,-0.358909,-0.185488,-0.268744,-0.294922,-0.212241,-0.15746,-0.164471,-0.200264,-0.232672	-0.497582,-0.536059,-0.416442,-0.343617,-0.446145,-0.431613,-0.460288,-0.530648,-0.491575,-0.442815,-0.479375,-0.351265,-0.507089,-0.428533,-0.348365,-0.209738,-0.216099,-0.26258,-0.36277,-0.402512
-0.183425,-0.212418,-0.206493,-0.153098,-0.229293,-0.198772,-0.173158,-0.246266,-0.222135,-0.211038,-0.277995,-0.203886,-0.233409,-0.220136,-0.126814,-0.0869597,-0.0698919,-0.0764788,-0.110652,-0.170572	0.164829,0.140679,0.0866027,0.116852,0.186447,0.218485,0.152515,0.0816157,0.187466,0.20025,0.175444,0.117745,0.145811,0.169736,0.165069,0.120108,0.104104,0.123014,0.175652,0.128491	-0.338034,-0.342852,-0.287946,-0.265205,-0.398696,-0.39989,-0.317294,-0.321421,-0.393226,-0.394611,-0.432351,-0.314091,-0.366738,-0.375829,-0.285898,-0.204927,-0.172739,-0.197633,-0.280845,-0.292649
